Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.671500,-146.304000,180.000000,bottom
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",79.883000,-44.577000,-90.000000,bottom
"R0","250k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",57.134000,-61.595000,0.000000,bottom
"R1","250k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",65.389000,-61.595000,0.000000,bottom
"R2","250k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",73.644000,-61.595000,0.000000,bottom
"R3","250k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",81.899000,-61.595000,0.000000,bottom
"R4","250k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",90.154000,-61.595000,0.000000,bottom
"R5","250k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",93.949000,-59.558000,180.000000,bottom
"R6","250k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",57.134000,-69.850000,0.000000,bottom
"R7","250k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",65.389000,-69.850000,0.000000,bottom
"R8","250k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",73.644000,-69.850000,0.000000,bottom
"R9","250k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",81.899000,-69.850000,0.000000,bottom
"R10","250k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",90.154000,-69.850000,0.000000,bottom
"R11","250k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",93.838000,-67.686000,180.000000,bottom
"R12","250k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",57.134000,-78.105000,0.000000,bottom
"R13","250k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",65.389000,-78.105000,0.000000,bottom
"R14","250k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",73.644000,-78.105000,0.000000,bottom
